sofifa_id,short_name,age,nationality,club_name,player_positions,overall,potential,value_eur,wage_eur,pace,shooting,passing,dribbling,defending,physic,is_goalkeeper,growth_gap,value_per_rating,age_group
165153,K. Benzema,32,France,Real Madrid,"CF, ST",89,89,53000000,350000,74.0,85.0,81.0,86.0,40.0,76.0,False,0,595505.6179775281,29-32
167495,M. Neuer,34,Germany,FC Bayern München,GK,89,89,29000000,125000,,,,,,,True,0,325842.69662921346,33+
200145,Casemiro,28,Brazil,Real Madrid,CDM,89,89,59500000,310000,65.0,73.0,76.0,72.0,86.0,91.0,False,0,668539.3258426966,25-28
210257,Ederson,26,Brazil,Manchester City,GK,88,91,53500000,195000,,,,,,,True,3,607954.5454545454,25-28
202652,R. Sterling,25,England,Manchester City,"LW, RW",88,90,72500000,270000,93.0,81.0,79.0,90.0,45.0,67.0,False,2,823863.6363636364,25-28
212622,J. Kimmich,25,Germany,FC Bayern München,"CDM, RB",88,90,65000000,145000,71.0,72.0,86.0,84.0,81.0,79.0,False,2,738636.3636363636,25-28
202126,H. Kane,26,England,Tottenham Hotspur,ST,88,89,71000000,220000,68.0,91.0,80.0,80.0,47.0,83.0,False,1,806818.1818181818,25-28
211110,P. Dybala,26,Argentina,Juventus,"CF, CAM",88,89,71000000,190000,85.0,85.0,84.0,92.0,43.0,63.0,False,1,806818.1818181818,25-28
162835,S. Handanovič,35,Slovenia,Inter,GK,88,88,16000000,100000,,,,,,,True,0,181818.18181818182,33+
182521,T. Kroos,30,Germany,Real Madrid,CM,88,88,55000000,310000,54.0,81.0,91.0,81.0,71.0,69.0,False,0,625000.0,29-32
183277,E. Hazard,29,Belgium,Real Madrid,"LW, ST",88,88,58000000,350000,88.0,82.0,83.0,92.0,35.0,66.0,False,0,659090.9090909091,29-32
201024,K. Koulibaly,29,Senegal,Napoli,CB,88,88,50000000,140000,75.0,28.0,55.0,68.0,89.0,86.0,False,0,568181.8181818182,29-32
215914,N. Kanté,29,France,Chelsea,"CDM, CM",88,88,51000000,190000,77.0,66.0,76.0,81.0,86.0,82.0,False,0,579545.4545454546,29-32
233049,J. Sancho,20,England,Borussia Dortmund,"RM, LM, CAM",87,93,69500000,82000,83.0,74.0,81.0,91.0,37.0,64.0,False,6,798850.5747126436,Under 20
231281,T. Alexander-Arnold,21,England,Liverpool,RB,87,92,60000000,110000,80.0,66.0,87.0,80.0,80.0,71.0,False,5,689655.1724137932,20-24
212198,Bruno Fernandes,25,Portugal,Manchester United,"CAM, CM",87,90,63000000,195000,77.0,83.0,88.0,85.0,68.0,75.0,False,3,724137.9310344828,25-28
212218,A. Laporte,26,France,Manchester City,CB,87,90,56000000,200000,63.0,50.0,72.0,68.0,88.0,81.0,False,3,643678.1609195402,25-28
209499,Fabinho,26,Brazil,Liverpool,CDM,87,89,54500000,155000,67.0,69.0,79.0,77.0,85.0,83.0,False,2,626436.7816091954,25-28
216267,A. Robertson,26,Scotland,Liverpool,LB,87,89,53000000,155000,82.0,62.0,80.0,80.0,81.0,76.0,False,2,609195.4022988506,25-28
218667,Bernardo Silva,25,Portugal,Manchester City,"RW, CAM, CM",87,88,60000000,230000,81.0,77.0,83.0,92.0,51.0,67.0,False,1,689655.1724137932,25-28
138956,G. Chiellini,35,Italy,Juventus,CB,87,87,15500000,94000,66.0,46.0,58.0,60.0,90.0,79.0,False,0,178160.9195402299,33+
167948,H. Lloris,33,France,Tottenham Hotspur,GK,87,87,27000000,125000,,,,,,,True,0,310344.8275862069,33+
176580,L. Suárez,33,Uruguay,FC Barcelona,ST,87,87,31500000,280000,70.0,90.0,82.0,83.0,51.0,83.0,False,0,362068.9655172414,33+
177003,L. Modrić,34,Croatia,Real Madrid,CM,87,87,24500000,260000,73.0,76.0,89.0,88.0,71.0,66.0,False,0,281609.1954022989,33+
183898,A. Di María,32,Argentina,Paris Saint-Germain,"RW, LW",87,87,39000000,160000,83.0,81.0,85.0,88.0,48.0,68.0,False,0,448275.8620689655,29-32
186153,W. Szczęsny,30,Poland,Juventus,GK,87,87,34000000,105000,,,,,,,True,0,390804.5977011494,29-32
188567,P. Aubameyang,31,Gabon,Arsenal,"ST, LW",87,87,45000000,170000,93.0,86.0,75.0,80.0,38.0,69.0,False,0,517241.3793103448,29-32
189511,Sergio Busquets,31,Spain,FC Barcelona,CDM,87,87,38000000,240000,42.0,62.0,80.0,80.0,83.0,77.0,False,0,436781.6091954023,29-32
192387,C. Immobile,30,Italy,Lazio,ST,87,87,48500000,125000,84.0,88.0,67.0,83.0,39.0,77.0,False,0,557471.264367816,29-32
193041,K. Navas,33,Costa Rica,Paris Saint-Germain,GK,87,87,27000000,110000,,,,,,,True,0,310344.8275862069,33+
194765,A. Griezmann,29,France,FC Barcelona,"ST, CF, LW",87,87,50500000,290000,79.0,85.0,84.0,88.0,57.0,72.0,False,0,580459.7701149426,29-32
200104,H. Son,27,Korea Republic,Tottenham Hotspur,"LM, CF",87,87,52500000,165000,88.0,86.0,80.0,87.0,43.0,69.0,False,0,603448.275862069,25-28
201942,Roberto Firmino,28,Brazil,Liverpool,CF,87,87,52000000,190000,77.0,80.0,81.0,90.0,61.0,78.0,False,0,597701.1494252874,25-28
201535,R. Varane,27,France,Real Madrid,CB,86,88,46500000,220000,82.0,49.0,64.0,64.0,87.0,82.0,False,2,540697.6744186047,25-28
195864,P. Pogba,27,France,Manchester United,"CM, CDM",86,87,50000000,190000,73.0,81.0,86.0,85.0,66.0,85.0,False,1,581395.3488372093,25-28
199556,M. Verratti,27,Italy,Paris Saint-Germain,"CM, CDM",86,87,50000000,135000,64.0,60.0,85.0,90.0,79.0,67.0,False,1,581395.3488372093,25-28
143076,A. Gómez,32,Argentina,Atalanta,"CAM, CF, ST",86,86,34500000,100000,90.0,79.0,84.0,88.0,39.0,55.0,False,0,401162.79069767444,29-32
152729,Piqué,33,Spain,FC Barcelona,CB,86,86,21000000,220000,57.0,61.0,71.0,67.0,86.0,80.0,False,0,244186.0465116279,33+
168542,David Silva,34,Spain,Real Sociedad,"CAM, CM",86,86,22500000,58000,64.0,74.0,88.0,88.0,52.0,55.0,False,0,261627.90697674418,33+
177683,Y. Sommer,31,Switzerland,Borussia Mönchengladbach,GK,86,86,28500000,55000,,,,,,,True,0,331395.3488372093,29-32
178603,M. Hummels,31,Germany,Borussia Dortmund,CB,86,86,33000000,93000,58.0,58.0,77.0,72.0,89.0,77.0,False,0,383720.93023255817,29-32
183711,J. Henderson,30,England,Liverpool,"CDM, CM",86,86,36500000,140000,65.0,74.0,84.0,79.0,81.0,82.0,False,0,424418.6046511628,29-32
189332,Jordi Alba,31,Spain,FC Barcelona,LB,86,86,32000000,220000,88.0,69.0,81.0,83.0,78.0,72.0,False,0,372093.0232558139,29-32
189596,T. Müller,30,Germany,FC Bayern München,"CAM, RM, RW",86,86,42000000,130000,68.0,82.0,82.0,78.0,56.0,71.0,False,0,488372.0930232558,29-32
193080,De Gea,29,Spain,Manchester United,GK,86,86,31500000,150000,,,,,,,True,0,366279.06976744183,29-32
204963,Carvajal,28,Spain,Real Madrid,RB,86,86,38000000,230000,80.0,54.0,78.0,80.0,82.0,80.0,False,0,441860.4651162791,25-28
208830,J. Vardy,33,England,Leicester City,ST,86,86,28000000,160000,88.0,85.0,66.0,78.0,55.0,75.0,False,0,325581.3953488372,33+
235790,K. Havertz,21,Germany,Chelsea,"CAM, RM, CF",85,93,57000000,105000,84.0,81.0,79.0,85.0,45.0,67.0,False,8,670588.2352941176,20-24
230621,G. Donnarumma,21,Italy,Milan,GK,85,92,41500000,34000,,,,,,,True,7,488235.29411764705,20-24
235243,M. de Ligt,20,Netherlands,Juventus,CB,85,92,49500000,80000,72.0,59.0,66.0,69.0,85.0,84.0,False,7,582352.9411764706,Under 20
231677,M. Rashford,22,England,Manchester United,"LM, ST",85,91,53000000,150000,91.0,83.0,78.0,86.0,45.0,78.0,False,6,623529.4117647059,20-24
222492,L. Sané,24,Germany,FC Bayern München,LM,85,90,51500000,100000,93.0,81.0,79.0,86.0,38.0,67.0,False,5,605882.3529411765,20-24
228702,F. de Jong,23,Netherlands,FC Barcelona,CM,85,90,50500000,190000,80.0,64.0,84.0,87.0,76.0,77.0,False,5,594117.6470588235,20-24
207865,Marquinhos,26,Brazil,Paris Saint-Germain,"CB, CDM",85,89,44000000,115000,72.0,41.0,73.0,70.0,87.0,78.0,False,4,517647.0588235294,25-28
220440,C. Lenglet,25,France,FC Barcelona,CB,85,89,44500000,190000,74.0,45.0,67.0,65.0,87.0,81.0,False,4,523529.4117647059,25-28
223848,S. Milinković-Savić,25,Serbia,Lazio,"CM, CDM, CAM",85,89,49000000,94000,69.0,79.0,80.0,83.0,79.0,85.0,False,4,576470.5882352941,25-28
232363,M. Škriniar,25,Slovakia,Inter,CB,85,89,44500000,130000,69.0,41.0,59.0,66.0,87.0,81.0,False,4,523529.4117647059,25-28
202556,M. Depay,26,Netherlands,Olympique Lyonnais,"CF, LW, CAM",85,88,48500000,115000,86.0,83.0,81.0,84.0,32.0,80.0,False,3,570588.2352941176,25-28
212188,T. Werner,24,Germany,Chelsea,ST,85,88,49500000,135000,91.0,85.0,69.0,84.0,35.0,71.0,False,3,582352.9411764706,20-24
231866,Rodri,24,Spain,Manchester City,"CDM, CM",85,88,44000000,145000,65.0,68.0,77.0,77.0,82.0,79.0,False,3,517647.0588235294,20-24
192563,B. Leno,28,Germany,Arsenal,GK,85,87,33500000,105000,,,,,,,True,2,394117.64705882355,25-28
206113,S. Gnabry,24,Germany,FC Bayern München,"RM, LM, RW",85,87,47500000,100000,82.0,83.0,78.0,86.0,43.0,70.0,False,2,558823.5294117647,20-24
210243,Ricardo Pereira,26,Portugal,Leicester City,RB,85,87,40500000,120000,83.0,66.0,79.0,82.0,81.0,76.0,False,2,476470.5882352941,25-28
192505,R. Lukaku,27,Belgium,Inter,ST,85,86,45000000,165000,81.0,83.0,76.0,75.0,38.0,84.0,False,1,529411.7647058824,25-28
198706,Luis Alberto,27,Spain,Lazio,"CAM, CM, CF",85,86,44000000,99000,74.0,76.0,86.0,85.0,58.0,59.0,False,1,517647.0588235294,25-28
201399,M. Icardi,27,Argentina,Paris Saint-Germain,ST,85,86,45000000,135000,73.0,85.0,65.0,78.0,36.0,68.0,False,1,529411.7647058824,25-28
208670,H. Ziyech,27,Morocco,Chelsea,"CAM, RW",85,86,44000000,140000,80.0,76.0,87.0,84.0,50.0,66.0,False,1,517647.0588235294,25-28
164240,Thiago Silva,35,Brazil,Chelsea,CB,85,85,11500000,93000,59.0,54.0,72.0,71.0,86.0,78.0,False,0,135294.11764705883,33+
175943,D. Mertens,33,Belgium,Napoli,"CF, ST",85,85,24000000,115000,86.0,82.0,80.0,89.0,35.0,51.0,False,0,282352.9411764706,33+
180206,M. Pjanić,30,Bosnia Herzegovina,FC Barcelona,"CM, CDM",85,85,35500000,220000,67.0,68.0,87.0,85.0,75.0,67.0,False,0,417647.0588235294,29-32
181291,G. Wijnaldum,29,Netherlands,Liverpool,CM,85,85,37000000,150000,76.0,75.0,81.0,86.0,78.0,79.0,False,0,435294.1176470588,29-32
182493,D. Godín,34,Uruguay,Inter,CB,85,85,14500000,135000,57.0,48.0,64.0,61.0,87.0,79.0,False,0,170588.23529411765,33+
184087,T. Alderweireld,31,Belgium,Tottenham Hotspur,CB,85,85,28500000,130000,63.0,55.0,72.0,67.0,87.0,79.0,False,0,335294.1176470588,29-32
184344,L. Bonucci,33,Italy,Juventus,CB,85,85,18000000,110000,60.0,58.0,69.0,70.0,87.0,77.0,False,0,211764.70588235295,33+
185122,P. Gulácsi,30,Hungary,RB Leipzig,GK,85,85,26000000,65000,,,,,,,True,0,305882.35294117645,29-32
188350,M. Reus,31,Germany,Borussia Dortmund,"CAM, CF",85,85,34000000,94000,80.0,86.0,84.0,85.0,45.0,63.0,False,0,400000.0,29-32
188377,K. Walker,30,England,Manchester City,RB,85,85,30500000,170000,92.0,63.0,76.0,77.0,80.0,82.0,False,0,358823.5294117647,29-32
189509,Thiago,29,Spain,Liverpool,"CM, CDM",85,85,37000000,150000,64.0,72.0,85.0,90.0,70.0,62.0,False,0,435294.1176470588,29-32
189513,Parejo,31,Spain,Villarreal CF,CM,85,85,33000000,59000,50.0,83.0,90.0,81.0,71.0,69.0,False,0,388235.29411764705,29-32
190460,C. Eriksen,28,Denmark,Inter,"CAM, CM, RM",85,85,39000000,155000,72.0,81.0,88.0,81.0,53.0,63.0,False,0,458823.5294117647,25-28
191043,Alex Sandro,29,Brazil,Juventus,"LB, LM",85,85,31500000,120000,81.0,65.0,77.0,80.0,81.0,81.0,False,0,370588.23529411765,29-32
193747,Koke,28,Spain,Atlético Madrid,"CM, RM, LM",85,85,38000000,92000,67.0,75.0,85.0,81.0,76.0,80.0,False,0,447058.82352941175,25-28
198219,L. Insigne,29,Italy,Napoli,"LW, CF",85,85,37500000,120000,88.0,78.0,83.0,91.0,36.0,44.0,False,0,441176.4705882353,29-32
204485,R. Mahrez,29,Algeria,Manchester City,"RW, RM",85,85,37500000,210000,83.0,79.0,81.0,90.0,38.0,59.0,False,0,441176.4705882353,29-32
239085,E. Haaland,19,Norway,Borussia Dortmund,ST,84,92,45000000,56000,84.0,87.0,63.0,76.0,43.0,85.0,False,8,535714.2857142857,Under 20
231478,L. Martínez,22,Argentina,Inter,ST,84,91,44500000,130000,83.0,82.0,71.0,85.0,48.0,82.0,False,7,529761.9047619047,20-24
230142,Oyarzabal,23,Spain,Real Sociedad,"LW, RW",84,90,42500000,47000,81.0,82.0,80.0,84.0,41.0,63.0,False,6,505952.38095238095,20-24
212190,N. Süle,24,Germany,FC Bayern München,CB,84,89,37500000,84000,69.0,42.0,59.0,49.0,85.0,81.0,False,5,446428.5714285714,20-24
230658,Arthur,23,Brazil,Juventus,CM,84,89,41000000,98000,66.0,73.0,82.0,87.0,75.0,71.0,False,5,488095.2380952381,20-24
209658,L. Goretzka,25,Germany,FC Bayern München,"CM, CDM",84,88,39500000,105000,78.0,78.0,80.0,82.0,77.0,85.0,False,4,470238.09523809527,25-28
210035,Grimaldo,24,Spain,SL Benfica,LB,84,88,35500000,20000,85.0,65.0,79.0,84.0,77.0,71.0,False,4,422619.04761904763,20-24
211300,A. Martial,24,France,Manchester United,ST,84,88,41000000,155000,89.0,83.0,74.0,87.0,41.0,72.0,False,4,488095.2380952381,20-24
212194,J. Brandt,24,Germany,Borussia Dortmund,"CAM, CM",84,88,40500000,75000,81.0,78.0,82.0,87.0,51.0,66.0,False,4,482142.85714285716,20-24
213345,K. Coman,24,France,FC Bayern München,"LM, RM, LW",84,88,40500000,94000,93.0,76.0,77.0,87.0,29.0,59.0,False,4,482142.85714285716,20-24
216460,J. Giménez,25,Uruguay,Atlético Madrid,CB,84,88,36000000,70000,67.0,45.0,53.0,54.0,86.0,83.0,False,4,428571.4285714286,25-28
226753,A. Onana,24,Cameroon,Ajax,GK,84,88,30000000,18000,,,,,,,True,4,357142.85714285716,20-24
226790,W. Ndidi,23,Nigeria,Leicester City,"CDM, CM",84,88,36500000,96000,71.0,62.0,68.0,74.0,87.0,84.0,False,4,434523.8095238095,20-24
208421,Saúl,25,Spain,Atlético Madrid,"CM, LM, LB",84,87,38500000,77000,68.0,79.0,79.0,81.0,78.0,79.0,False,3,458333.3333333333,25-28
189117,R. Bürki,29,Switzerland,Borussia Dortmund,GK,84,85,25000000,67000,,,,,,,True,1,297619.04761904763,29-32
198176,S. de Vrij,28,Netherlands,Inter,CB,84,85,30500000,130000,68.0,41.0,62.0,68.0,86.0,75.0,False,1,363095.2380952381,25-28
200458,L. Digne,26,France,Everton,LB,84,85,31500000,110000,78.0,69.0,80.0,79.0,80.0,76.0,False,1,375000.0,25-28
209889,R. Guerreiro,26,Portugal,Borussia Dortmund,"LM, LB, CM",84,85,36500000,86000,74.0,78.0,84.0,87.0,73.0,57.0,False,1,434523.8095238095,25-28
209989,T. Partey,27,Ghana,Atlético Madrid,CM,84,85,35000000,81000,71.0,74.0,81.0,81.0,82.0,85.0,False,1,416666.6666666667,25-28
212462,Alex Telles,27,Brazil,FC Porto,LB,84,85,31000000,23000,85.0,74.0,83.0,81.0,79.0,76.0,False,1,369047.61904761905,25-28
216352,M. Brozović,27,Croatia,Inter,"CDM, CM",84,85,32000000,125000,63.0,74.0,80.0,81.0,79.0,78.0,False,1,380952.38095238095,25-28
135507,Fernandinho,35,Brazil,Manchester City,"CB, CDM",84,84,9500000,110000,64.0,72.0,78.0,78.0,85.0,79.0,False,0,113095.23809523809,33+
146536,Jesús Navas,34,Spain,Sevilla FC,"RB, RM",84,84,11000000,43000,87.0,69.0,79.0,83.0,80.0,58.0,False,0,130952.38095238095,33+
163587,K. Schmeichel,33,Denmark,Leicester City,GK,84,84,17000000,90000,,,,,,,True,0,202380.95238095237,33+
168435,S. Sirigu,33,Italy,Torino,GK,84,84,17000000,54000,,,,,,,True,0,202380.95238095237,33+
176266,Lucas Leiva,33,Brazil,Lazio,CDM,84,84,15000000,83000,60.0,66.0,76.0,78.0,83.0,71.0,False,0,178571.42857142858,33+
177413,A. Witsel,31,Belgium,Borussia Dortmund,"CDM, CM",84,84,23500000,79000,63.0,73.0,81.0,79.0,82.0,82.0,False,0,279761.90476190473,29-32
178005,Rui Patrício,32,Portugal,Wolverhampton Wanderers,GK,84,84,19000000,90000,,,,,,,True,0,226190.47619047618,29-32
184432,Azpilicueta,30,Spain,Chelsea,"RB, LB",84,84,24500000,120000,67.0,55.0,77.0,72.0,84.0,76.0,False,0,291666.6666666667,29-32
190483,Douglas Costa,29,Brazil,Juventus,"LM, RW, LW",84,84,30500000,120000,93.0,73.0,79.0,91.0,43.0,59.0,False,0,363095.2380952381,29-32
192629,Iago Aspas,32,Spain,RC Celta,"ST, RW",84,84,25000000,46000,82.0,85.0,78.0,86.0,35.0,63.0,False,0,297619.04761904763,29-32
193165,J. Corona,27,Mexico,FC Porto,"RM, RB",84,84,32500000,25000,84.0,68.0,78.0,88.0,77.0,60.0,False,0,386904.7619047619,25-28
193474,I. Gueye,30,Senegal,Paris Saint-Germain,"CDM, CM",84,84,25500000,105000,69.0,61.0,71.0,78.0,85.0,79.0,False,0,303571.4285714286,29-32
197445,D. Alaba,28,Austria,FC Bayern München,"CB, LB",84,84,27500000,105000,77.0,70.0,81.0,79.0,83.0,76.0,False,0,327380.95238095237,25-28
197781,Isco,28,Spain,Real Madrid,"CAM, CM, LW",84,84,31500000,210000,68.0,75.0,82.0,90.0,59.0,59.0,False,0,375000.0,25-28
197965,Pizzi,30,Portugal,SL Benfica,"RM, CM",84,84,29500000,25000,75.0,78.0,83.0,83.0,65.0,68.0,False,0,351190.4761904762,29-32
199451,W. Ben Yedder,29,France,AS Monaco,ST,84,84,31000000,91000,84.0,83.0,77.0,87.0,39.0,63.0,False,0,369047.61904761905,29-32
200647,J. Iličić,32,Slovenia,Atalanta,"CF, ST",84,84,25000000,92000,70.0,86.0,84.0,85.0,43.0,68.0,False,0,297619.04761904763,29-32
204838,R. Jiménez,29,Mexico,Wolverhampton Wanderers,ST,84,84,31000000,140000,78.0,82.0,76.0,82.0,49.0,83.0,False,0,369047.61904761905,29-32
207863,Felipe,31,Brazil,Atlético Madrid,CB,84,84,23000000,74000,62.0,41.0,58.0,61.0,86.0,86.0,False,0,273809.5238095238,29-32
211256,N. Tagliafico,27,Argentina,Ajax,LB,84,84,27500000,27000,82.0,56.0,73.0,76.0,82.0,79.0,False,0,327380.95238095237,25-28
239053,F. Valverde,21,Uruguay,Real Madrid,CM,83,90,36000000,135000,86.0,74.0,78.0,79.0,77.0,80.0,False,7,433734.9397590361,20-24
222665,M. Ødegaard,21,Norway,Real Madrid,"CAM, CM, RM",83,89,36000000,135000,78.0,75.0,84.0,85.0,58.0,63.0,False,6,433734.9397590361,20-24
231443,O. Dembélé,23,France,FC Barcelona,"LW, RW",83,89,35500000,175000,92.0,77.0,77.0,87.0,36.0,56.0,False,6,427710.843373494,20-24
211688,Gayà,25,Spain,Valencia CF,LB,83,88,30500000,46000,84.0,61.0,78.0,80.0,79.0,70.0,False,5,367469.8795180723,25-28
212151,T. Strakosha,25,Albania,Lazio,GK,83,88,25500000,57000,,,,,,,True,5,307228.9156626506,25-28
221087,Pau López,25,Spain,Roma,GK,83,88,25500000,52000,,,,,,,True,5,307228.9156626506,25-28
225100,J. Gomez,23,England,Liverpool,CB,83,88,31000000,93000,82.0,30.0,66.0,69.0,83.0,80.0,False,5,373493.9759036145,20-24
225953,S. Bergwijn,22,Netherlands,Tottenham Hotspur,"LM, LW, RM",83,88,34500000,105000,87.0,79.0,78.0,85.0,39.0,72.0,False,5,415662.6506024096,20-24
228618,F. Mendy,25,France,Real Madrid,LB,83,88,30500000,160000,92.0,64.0,76.0,79.0,78.0,82.0,False,5,367469.8795180723,25-28
229880,A. Wan-Bissaka,22,England,Manchester United,"RB, RWB",83,88,30500000,115000,86.0,51.0,68.0,80.0,82.0,74.0,False,5,367469.8795180723,20-24
235212,A. Hakimi,21,Morocco,Inter,RM,83,88,35000000,92000,94.0,70.0,76.0,82.0,72.0,76.0,False,5,421686.7469879518,20-24
210413,A. Romagnoli,25,Italy,Milan,CB,83,87,30000000,51000,70.0,40.0,56.0,69.0,85.0,78.0,False,4,361445.7831325301,25-28
211117,D. Alli,24,England,Tottenham Hotspur,"CAM, CM",83,87,34000000,105000,72.0,80.0,79.0,83.0,71.0,79.0,False,4,409638.5542168675,20-24
221363,D. van de Beek,23,Netherlands,Manchester United,"CM, CAM",83,87,33000000,125000,70.0,80.0,78.0,78.0,72.0,80.0,False,4,397590.3614457831,20-24
229261,D. Zakaria,23,Switzerland,Borussia Mönchengladbach,"CDM, CB, CM",83,87,30500000,45000,83.0,64.0,75.0,77.0,81.0,85.0,False,4,367469.8795180723,20-24
230666,Gabriel Jesus,23,Brazil,Manchester City,ST,83,87,34500000,150000,85.0,82.0,72.0,87.0,42.0,71.0,False,4,415662.6506024096,20-24
205600,S. Umtiti,26,France,FC Barcelona,CB,83,86,28500000,170000,66.0,62.0,69.0,69.0,83.0,79.0,False,3,343373.4939759036,25-28
207410,M. Kovačić,26,Croatia,Chelsea,"CM, CDM",83,86,31500000,120000,75.0,69.0,83.0,88.0,69.0,70.0,False,3,379518.0722891566,25-28
210514,João Cancelo,26,Portugal,Manchester City,RB,83,86,28000000,140000,86.0,65.0,79.0,83.0,77.0,70.0,False,3,337349.3975903614,25-28
227928,Nélson Semedo,26,Portugal,FC Barcelona,RB,83,86,28000000,170000,92.0,57.0,69.0,82.0,77.0,76.0,False,3,337349.3975903614,25-28
192984,K. Casteels,28,Belgium,VfL Wolfsburg,GK,83,85,22500000,53000,,,,,,,True,2,271084.3373493976,25-28
199482,A. Lopes,29,Portugal,Olympique Lyonnais,GK,83,85,22000000,69000,,,,,,,True,2,265060.2409638554,29-32
204923,M. Sabitzer,26,Austria,RB Leipzig,"CM, CAM",83,85,31000000,73000,80.0,83.0,80.0,80.0,65.0,78.0,False,2,373493.9759036145,25-28
219693,Diego Carlos,27,Brazil,Sevilla FC,CB,83,85,27000000,39000,77.0,47.0,63.0,67.0,82.0,83.0,False,2,325301.2048192771,25-28
192774,K. Manolas,29,Greece,Napoli,CB,83,84,24500000,84000,82.0,25.0,42.0,60.0,85.0,79.0,False,1,295180.7228915663,29-32
197061,J. Matip,28,Cameroon,Liverpool,CB,83,84,25500000,115000,60.0,46.0,68.0,68.0,85.0,78.0,False,1,307228.9156626506,25-28
205069,Juan Bernat,27,Spain,Paris Saint-Germain,"LB, LM",83,84,25500000,95000,81.0,64.0,79.0,83.0,76.0,67.0,False,1,307228.9156626506,25-28
216594,N. Fekir,26,France,Real Betis,"CAM, RM, ST",83,84,30500000,38000,79.0,82.0,81.0,87.0,38.0,79.0,False,1,367469.8795180723,25-28
41236,Z. Ibrahimović,38,Sweden,Milan,ST,83,83,9500000,49000,52.0,88.0,77.0,79.0,34.0,77.0,False,0,114457.8313253012,33+
162347,João Moutinho,33,Portugal,Wolverhampton Wanderers,CM,83,83,15000000,110000,56.0,75.0,86.0,83.0,72.0,66.0,False,0,180722.89156626505,33+
163705,S. Mandanda,35,France,Olympique de Marseille,GK,83,83,7000000,28000,,,,,,,True,0,84337.34939759035,33+
167664,G. Higuaín,32,Argentina,Inter Miami,ST,83,83,20500000,17000,65.0,85.0,71.0,80.0,31.0,69.0,False,0,246987.9518072289,29-32
169195,Renato Augusto,32,Brazil,Beijing Sinobo Guoan FC,"CM, CAM, LM",83,83,19500000,33000,71.0,79.0,82.0,81.0,72.0,77.0,False,0,234939.7590361446,29-32
169416,C. Vela,31,Mexico,Los Angeles FC,"RW, LW, CAM",83,83,22500000,17000,80.0,82.0,78.0,84.0,31.0,67.0,False,0,271084.3373493976,29-32
170890,B. Matuidi,33,France,Inter Miami,"CDM, CM",83,83,12500000,14000,75.0,66.0,75.0,77.0,82.0,79.0,False,0,150602.4096385542,33+
172871,J. Vertonghen,33,Belgium,SL Benfica,"CB, LB",83,83,12000000,21000,58.0,62.0,72.0,71.0,85.0,78.0,False,0,144578.31325301205,33+
173731,G. Bale,30,Wales,Tottenham Hotspur,RW,83,83,24500000,130000,88.0,84.0,82.0,80.0,58.0,73.0,False,0,295180.7228915663,29-32
